"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "YAML", "XML", "Visual Basic", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\softMath.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\softString.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\index.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodeTypes.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\AddNode.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\AndNode.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\ArrayAssignNode.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\ArrayListNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\ArrayLookupNode.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\AssignNode.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\BlockNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\BoolNode.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\CallNode.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
